,Laconia(New Hampshire),Rutland(Vermont),Scranton(Pennsylvania),Alexandria(Virginia),Murfreesboro(Tennessee),Baltimore(Maryland),Johnson City(Tennessee),Worcester(Massachusetts),Philadelphia(Pennsylvania),Fort Wayne(Indiana),Gary(Indiana),Ann Arbor(Michigan),Hartford(Connecticut),Dover(Delaware),Montgomery(Alabama),Lafayette(Indiana),Lafayette(Louisiana),Memphis(Tennessee),Norfolk(Virginia),New Orleans(Louisiana),Harrisburg(Pennsylvania),Bloomington(Indiana),Hamilton(New Jersey),Charlottesville(Virginia),Montpelier(Vermont),Johnstown(Pennsylvania),Milwaukee(Wisconsin),Manassas(Virginia),Cleveland(Ohio),Providence(Rhode Island),Greensboro(North Carolina),Nashville(Tennessee),Panama City(Florida),Troy(New York),Fayetteville-A(Arkansas),Erie(Pennsylvania),New Haven(Connecticut),Saginaw(Michigan),Reading(Pennsylvania),Bridgeport(Connecticut),Springdale(Arkansas),Syracuse(New York),Sanford(Maine),Cumberland(Maryland),Gaithersburg(Maryland),Buffalo(New York),Columbia-SC(South Carolina),Charleston(West Virginia),Youngstown(Ohio),Clarksburg(West Virginia),Lansing(Michigan),Owensboro(Kentucky),Springfield-I(Illinois),Nashua(New Hampshire),Burlington(Vermont),Raleigh(North Carolina),Bloomington(Illinois),Manchester(New Hampshire),Pittsfield(Massachusetts),Rochester(New Hampshire),Annapolis(Maryland),New Bern (North Carolina),Bowling Green(Kentucky),Michigan City(Michigan),Warwick(Rhode Island),Westbrook(Maine),New Bedford(Massachusetts),Stamford(Connecticut),Chelsea(Massachusetts),Birmingham(Alabama),Southaven(Mississippi),Fayetteville(North Carolina),Savannah(Georgia),Atlantic City(New Jersey),Lynchburg(Virginia),Augusta(Maine),New Rochelle(New York),Knoxville(Tennessee),Monroe(Louisiana),Elizabethtown(Kentucky),St. Louis(Missouri),Mobile(Alabama),Florence(Kentucky),York(Pennsylvania),Rockville(Maryland),South Bend(Indiana),Washington(DC),Valdosta(Georgia),Lewiston(Maine),Miami(Florida),Columbia(Maryland),Summerville(South Carolina),Akron(Ohio),Tonawanda(New York),Carmel(Indiana),Springfield(Massachusetts),Auburn(Maine),Jersey City(New Jersey),Greenville(South Carolina),Lexington(Kentucky),Evansville(Indiana),Richmond(Virginia),Frankfort(Kentucky),Columbus(Ohio),Blacksburg(Virginia),St. Petersburg(Florida),JacksonM(Mississippi),Keene(New Hampshire),Kenosha(Wisconsin),Allentown(Pennsylvania),Grand Rapids(Michigan),Tallahassee(Florida),Portsmouth(New Hampshire),Pittsburgh(Pennsylvania),Quincy(Massachusetts),Lancaster(Pennsylvania),Hagerstown(Maryland),Salisbury(Maryland),Wilmington-D(Delaware),Woodbridge(New Jersey),Jackson(Tennessee),Wheeling(West Virginia),Orlando(Florida),Biddeford(Maine),Conway(Arkansas),Portland(Maine),Bentonville(Arkansas),Dayton(Ohio),Jacksonville(Florida),Silver Spring(Maryland),Binghamton(New York),Jonesboro(Arkansas),Tampa(Florida),Concord(New Hampshire),Newport(Rhode Island),Winooski(Vermont),Kalamazoo(Michigan),Chicago(Illinois),Traverse city (Michigan),Tuscaloosa(Alabama),Springfield-M(Missouri),Hattiesburg(Mississippi),Winston-Salem(North Carolina),Champaign(Illinois),Durham(North Carolina),Dothan(Alabama),Utica(New York),Virginia Beach(Virginia),Baton Rouge(Louisiana),Rockford(Illinois),Cambridge(Massachusetts),Middletown(New Jersey),Biloxi(Mississippi),El Dorado(Arkansas),Jefferson City(Missouri),Toledo(Ohio),Cape Coral(Florida),Wilmington(North Carolina),Charlotte(North Carolina),Hilton Head Island(South Carolina),Blue Springs (Missouri),New York City(New York),Weirton(West Virginia),Chattanooga(Tennessee),Terre Haute(Indiana),Newark(New Jersey),Gainesville(Florida),Bossier City(Louisiana),Paterson(New Jersey),Cincinnati(Ohio),Morgantown(West Virginia),Yonkers(New York),Huntington(West Virginia),Flint(Michigan),Lebanon(New Hampshire),Kingsport(Tennessee),Louisville(Kentucky),Lake Charles(Louisiana),Albany(New York),Lorain(Ohio),Trenton(New Jersey),Indianapolis(Indiana),Brockton(Massachusetts),Huntsville(Alabama),Bangor(Maine),Shreveport(Louisiana),Mount Vernon(New York),Fall River(Massachusetts),Martinsburg(West Virginia),Atlanta(Georgia),Little Rock(Arkansas),Boston(Massachusetts),Peoria(Illinois),Tupelo(Mississippi),Seaford(Delaware),Parkersburg(West Virginia),Macon(Georgia),Sheboygan(Wisconsin),Muncie(Indiana),Detroit(Michigan)
Youngstown(Ohio),inf,inf,803.0,inf,inf,1125.0,inf,inf,825.0,440.0,653.0,363.0,inf,958.0,inf,627.0,inf,inf,1386.0,3719.0,661.0,725.0,894.3,1449.2,inf,442.0,854.9,1480.0,120.0,inf,1664.0,2358.0,3018.0,1130.0,3228.0,285.0,1373.7,502.0,752.0,1399.7,3241.0,683.0,1302.0,505.0,684.0,437.0,1897.0,875.0,0.0,684.0,468.0,975.0,923.0,1275.0,1161.0,1530.0,860.0,1244.0,970.0,1278.0,760.0,1714.0,1091.0,642.0,1429.6,1357.0,1231.0,1089.7,1196.0,2020.0,2164.0,1587.0,2046.0,925.0,1242.0,1445.0,1002.0,1525.0,2763.0,1129.0,1087.0,2396.0,470.0,690.0,692.0,526.0,723.4,2345.0,1403.0,3399.0,715.0,1861.0,79.0,456.7,618.0,1062.0,1406.5,981.0,1552.0,584.0,911.0,1259.0,579.0,278.0,1097.0,3104.0,2482.0,1191.0,805.9,789.0,575.0,2464.0,1282.0,256.0,1205.0,639.0,614.0,888.0,852.0,940.0,2021.0,347.0,2877.0,1332.2,2424.0,1358.0,2716.0,389.0,2273.0,711.0,711.0,2263.0,2595.0,1226.0,1472.7,1161.0,521.0,702.9,749.0,2120.0,1436.0,2548.0,1300.0,778.0,1432.0,2337.0,760.0,1128.5,2747.0,847.9,1186.0,974.0,2507.0,2563.0,1301.0,276.0,2788.0,1676.0,1377.0,1979.0,1458.0,993.5,238.0,1700.0,765.0,921.0,2389.0,2712.0,935.0,450.0,367.0,974.4,498.0,451.0,1129.0,1332.0,610.0,2951.0,905.0,149.0,880.0,559.0,1212.0,1875.0,1565.0,2720.0,982.1,1210.0,588.0,1786.0,2371.0,1185.0,923.0,2302.0,875.0,427.0,1922.0,945.9,550.0,369.0
Clarksburg(West Virginia),inf,inf,inf,770.0,inf,1251.0,683.0,inf,1421.0,inf,inf,inf,inf,1452.0,1583.0,inf,inf,1469.0,860.0,2281.0,1376.2,inf,1490.3,588.0,inf,1586.0,inf,422.0,1782.0,inf,758.0,1138.0,1798.0,1773.2,2008.0,1728.2,2233.9,2192.0,1302.0,2259.9,2021.0,1660.2,2162.2,179.0,358.0,708.0,1046.0,203.0,684.0,0.0,940.0,1358.0,1395.0,1295.0,1181.0,846.0,1332.0,1264.0,1012.8,1298.0,434.0,1030.0,1242.0,1114.0,1449.6,1377.0,1273.8,1209.7,1238.8,1348.0,1492.0,915.0,1374.0,655.0,570.0,1465.0,992.0,853.0,2091.0,1358.0,1559.0,1724.0,1080.0,450.2,366.0,998.0,397.4,1673.0,1423.0,2727.0,389.0,1189.0,345.0,727.7,1090.0,1104.8,1426.5,733.0,880.0,480.0,1383.0,575.0,527.0,297.0,425.0,2432.0,1810.0,1233.8,1277.9,543.0,1047.0,1792.0,1324.8,185.0,1247.8,472.0,288.0,562.0,526.0,692.0,1349.0,152.0,2205.0,1352.2,1752.0,1378.0,2044.0,410.0,1601.0,385.0,701.0,1591.0,1923.0,1246.0,1492.7,1181.0,993.0,1174.9,1221.0,1448.0,1908.0,1876.0,628.0,1250.0,760.0,1665.0,861.0,737.0,2075.0,1319.9,1228.8,726.0,1835.0,1891.0,1773.0,525.0,2116.0,1004.0,705.0,1307.0,1930.0,745.5,186.0,1028.0,1237.0,675.0,1717.0,2040.0,689.0,440.0,63.0,728.4,279.0,923.0,1149.0,660.0,605.0,2279.0,927.0,437.0,632.0,578.0,1254.8,1203.0,1585.0,2048.0,736.0999999999999,1252.8,284.0,1114.0,1699.0,1227.8,1395.0,1630.0,549.0,116.0,1250.0,1417.9,667.0,618.0
Lansing(Michigan),inf,inf,inf,inf,inf,inf,inf,inf,inf,214.0,308.7,105.0,inf,inf,inf,401.0,inf,inf,inf,inf,inf,499.0,inf,inf,inf,inf,510.6,inf,376.0,inf,1920.0,2614.0,3274.0,1386.0,3484.0,541.0,1629.7,114.0,1008.0,1655.7,3497.0,939.0,1558.0,761.0,940.0,693.0,2153.0,1131.0,468.0,940.0,0.0,749.0,673.5999999999999,1531.0,1417.0,1786.0,592.5999999999999,1500.0,1226.0,1534.0,1016.0,1970.0,865.0,261.0,1685.6,1613.0,1487.0,1345.7,1452.0,2276.0,2420.0,1843.0,2302.0,1181.0,1498.0,1701.0,1258.0,1781.0,3019.0,903.0,837.5999999999999,2652.0,892.0,946.0,948.0,245.0,979.4,2601.0,1659.0,3655.0,971.0,2117.0,411.0,712.7,392.0,1318.0,1662.5,1237.0,1808.0,1006.0,685.0,1515.0,1001.0,420.0,1353.0,3360.0,2738.0,1447.0,461.6,1045.0,111.0,2720.0,1538.0,588.0,1461.0,971.0,870.0,1144.0,1108.0,1196.0,2277.0,626.0,3133.0,1588.2,2680.0,1614.0,2972.0,431.0,2529.0,967.0,967.0,2519.0,2851.0,1482.0,1728.7,1417.0,123.0,358.59999999999997,293.0,2376.0,1186.6,2804.0,1556.0,552.0,1688.0,2593.0,1016.0,1384.5,3003.0,503.59999999999997,1442.0,1230.0,2763.0,2819.0,1051.6,192.0,3044.0,1932.0,1633.0,2235.0,1208.6,1249.5,570.0,1956.0,539.0,1177.0,2645.0,2968.0,1191.0,518.0,699.0,1230.4,640.0,53.0,1385.0,1588.0,598.0,3207.0,1161.0,334.0,1136.0,413.0,1468.0,2131.0,1821.0,2976.0,1238.1,1466.0,907.8,2042.0,2627.0,1441.0,622.5999999999999,2558.0,1131.0,601.0,2178.0,601.5999999999999,324.0,145.0
Owensboro(Kentucky),inf,inf,inf,inf,inf,inf,inf,inf,inf,535.0,504.0,786.0,inf,inf,inf,397.0,inf,inf,inf,inf,inf,255.0,inf,inf,inf,inf,705.9,inf,883.0,inf,2427.0,220.0,880.0,1893.0,1093.0,1048.0,2136.7,870.0,1515.0,2162.7,1106.0,1446.0,2065.0,1268.0,1447.0,1200.0,1038.0,1155.0,975.0,1358.0,749.0,0.0,693.0,2038.0,1924.0,1071.0,630.0,2007.0,1733.0,2041.0,1523.0,1255.0,116.0,551.7,2192.6,2120.0,1994.0,1852.7,1959.0,430.0,577.0,1104.1,1265.0,1688.0,1090.0,2208.0,1765.0,507.0,1173.0,154.0,333.0,806.0,321.0,1453.0,1399.7,570.0,1368.0,1155.0,2166.0,1809.0,1451.7,1181.0,918.0,1219.7,374.0,1825.0,2169.5,1744.0,797.0,278.0,64.0,1262.0,268.0,629.0,903.0,1514.0,895.0,1954.0,656.9,1552.0,745.7,914.0,2045.0,1095.0,1968.0,1478.0,1377.0,1608.7,1615.0,1703.0,431.0,835.0,1327.0,2095.2,837.0,2121.0,1129.0,537.0,1179.0,1380.4,1474.0,676.0,1357.0,1989.0,2235.7,1924.0,692.0,553.9,970.7,530.0,682.0,958.0,902.0,377.0,1034.0,747.0,1523.0,1386.0,1160.0,673.0,1949.0,1737.0,917.0,976.0,547.0,699.0,1548.0,1237.0,899.0,1228.0,704.0,1756.5,870.0,437.0,243.0,1684.0,1154.0,1125.0,1698.0,341.0,951.0,1737.4,479.0,802.0,1892.0,668.0,181.0,1364.0,1668.0,721.0,1643.0,343.0,1975.0,402.0,2328.0,1133.0,1745.1,1973.0,1048.0,620.0,784.0,1948.0,522.0,715.0,1638.0,643.0,756.0,796.9,432.0,792.0
Springfield-I(Illinois),inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,364.9,708.5999999999999,inf,inf,inf,296.0,inf,inf,inf,inf,inf,475.0,inf,inf,inf,inf,461.0,inf,831.0,inf,2375.0,3069.0,3729.0,1841.0,3939.0,996.0,2084.7,789.5999999999999,1463.0,2110.7,3952.0,1394.0,2013.0,1216.0,1395.0,1148.0,2608.0,1586.0,923.0,1395.0,673.5999999999999,693.0,0.0,1986.0,1872.0,1764.0,102.0,1955.0,1681.0,1989.0,1471.0,1948.0,809.0,412.59999999999997,2140.6,2068.0,1942.0,1800.7,1907.0,1123.0,1270.0,1797.1,1958.0,1636.0,1783.0,2156.0,1713.0,1200.0,1866.0,847.0,164.0,1499.0,1014.0,1401.0,1403.0,470.0,1434.4,1848.0,2114.0,2502.0,1426.0,1874.0,866.0,1167.7,396.0,1773.0,2117.5,1692.0,1490.0,971.0,433.0,1955.0,961.0,677.0,1596.0,2207.0,1588.0,1902.0,418.0,1500.0,606.5999999999999,1607.0,1993.0,1043.0,1916.0,1426.0,1325.0,1599.0,1563.0,1651.0,1124.0,883.0,2020.0,2043.2,1530.0,2069.0,1822.0,585.0,1872.0,1422.0,1422.0,1369.0,2050.0,1937.0,2183.7,1872.0,557.5999999999999,315.0,831.5999999999999,1223.0,513.0,1651.0,1595.0,145.0,1727.0,1440.0,1471.0,1839.5,1853.0,312.0,1897.0,1685.0,1610.0,1669.0,378.0,647.0,2241.0,1930.0,1592.0,1921.0,535.0,1704.5,918.0,1130.0,294.0,1632.0,1847.0,1818.0,1646.0,577.0,999.0,1685.4,897.0,726.5999999999999,1840.0,1361.0,580.0,2057.0,1616.0,789.0,1591.0,348.0,1923.0,1095.0,2276.0,1826.0,1693.1,1921.0,1220.0,1313.0,1477.0,1896.0,112.0,1408.0,1586.0,858.0,1449.0,552.0,437.0,740.0
Nashua(New Hampshire),101.0,227.0,inf,inf,inf,inf,inf,83.0,inf,inf,inf,inf,188.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,242.0,inf,inf,inf,inf,148.0,inf,inf,inf,362.0,3461.2,990.0,251.0,1565.0,848.0,277.0,3474.2,604.0,144.0,1116.0,1081.2,838.0,2198.2,1486.0,1275.0,1295.0,1531.0,2038.0,1986.0,0.0,311.0,1831.2,1923.0,32.8,243.0,98.0,1062.2,2015.2,2154.0,1705.0,165.6,199.0,166.0,310.0,73.0,2468.0,2615.0,1936.2,2526.2,989.0,1709.2,287.0,344.7,2136.0,3211.0,2192.0,2150.0,2844.0,1671.0,925.2,1073.2,1589.0,1075.6,2825.2,245.0,3847.0,1044.1,2257.2,1218.0,834.0,1681.0,166.0,248.5,649.5,2163.0,1769.0,1974.0,1560.2,1780.0,1385.0,1708.0,3552.0,2933.0,82.0,1868.9,811.0,1638.0,2944.2,103.0,1166.0,95.4,902.0,1007.0,1118.5,940.0,683.3,2469.0,1257.0,3357.2,162.0,2875.0,200.0,3167.0,1498.0,2753.2,1063.2,594.0,2714.0,3075.2,59.0,208.7,306.0,1584.0,1765.9,1812.0,2568.0,2499.0,2996.0,1911.0,1841.0,1803.2,2785.0,523.0,1429.7,3198.0,1910.9,67.0,718.5,2955.0,3014.0,2364.0,1339.0,3268.2,2039.2,1988.0,2425.2,2521.0,379.79999999999995,1224.0,2311.0,1828.0,666.0,2869.2,3163.0,416.09999999999997,1558.0,1232.0,357.4,1564.0,1514.0,146.0,1943.0,1811.0,3402.0,308.0,1200.4,516.0999999999999,1666.0,117.9,2440.0,402.0,3171.0,349.79999999999995,165.4,1044.8,2397.0,2822.0,77.8,1986.0,2753.0,1081.0,1400.0,2533.0,2008.9,1613.0,1432.0
Burlington(Vermont),255.0,113.0,inf,inf,inf,inf,inf,412.0,inf,inf,inf,inf,375.7,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,69.0,inf,inf,inf,inf,477.0,inf,inf,inf,248.0,3347.2,876.0,438.7,1451.0,734.0,464.7,3360.2,490.0,338.0,1002.0,967.2,724.0,2084.2,1372.0,1161.0,1181.0,1417.0,1924.0,1872.0,311.0,0.0,1717.2,1809.0,280.0,256.0,314.0,948.2,1901.2,2040.0,1591.0,476.6,393.0,477.0,497.7,384.0,2354.0,2501.0,1822.2,2412.2,875.0,1595.2,481.0,490.0,2022.0,3097.0,2078.0,2036.0,2730.0,1557.0,811.2,959.2,1475.0,961.6,2711.2,439.0,3733.0,930.1,2143.2,1104.0,720.0,1567.0,329.0,442.5,535.5,2049.0,1655.0,1860.0,1446.2,1666.0,1271.0,1594.0,3438.0,2819.0,264.0,1754.9,697.0,1524.0,2830.2,346.0,1052.0,406.4,788.0,893.0,1004.5,826.0,569.3,2355.0,1143.0,3243.2,368.2,2761.0,394.0,3053.0,1384.0,2639.2,949.2,480.0,2600.0,2961.2,262.0,519.7,5.1,1470.0,1651.9,1698.0,2454.0,2385.0,2882.0,1797.0,1727.0,1689.2,2671.0,409.0,1315.7,3084.0,1796.9,378.0,604.5,2841.0,2900.0,2250.0,1225.0,3154.2,1925.2,1874.0,2311.2,2407.0,523.0,1110.0,2197.0,1714.0,552.0,2755.2,3049.0,528.4,1444.0,1118.0,489.0,1450.0,1400.0,165.0,1829.0,1697.0,3288.0,262.8,1086.4,628.4,1552.0,428.9,2326.0,601.0,3057.0,493.0,476.4,930.8,2283.0,2708.0,388.8,1872.0,2639.0,967.0,1286.0,2419.0,1894.9,1499.0,1318.0
Raleigh(North Carolina),inf,inf,inf,437.0,inf,inf,396.0,inf,inf,inf,inf,inf,inf,inf,1296.0,inf,inf,1182.0,430.0,1994.0,946.2,inf,1060.3,386.0,inf,1156.0,inf,424.0,1478.0,inf,127.0,851.0,1511.0,1469.2,1721.0,1424.2,1929.9,1888.0,998.0,1955.9,1734.0,1356.2,1858.2,1025.0,860.0,1554.0,376.0,682.0,1530.0,846.0,1786.0,1071.0,1764.0,1831.2,1717.2,0.0,1701.0,1800.2,1549.0,1834.2,785.0,184.0,955.0,1622.7,1985.8000000000002,1913.2,1810.0,1745.9,1775.0,959.0,1205.0,105.0,704.0,1069.0,315.0,2001.2,1528.2,566.0,1577.0,1071.0,1404.0,1249.0,1281.0,906.0,480.7,1641.0,449.0,1003.0,1959.2,2213.0,532.7,426.0,1148.0,1573.7,1445.0,1641.0,1962.7,1147.0,404.0,840.0,1135.0,271.0,887.0,984.0,372.0,1918.0,1378.0,1770.0,1727.9,1051.0,1816.7,1122.0,1861.0,1031.0,1784.0,948.1,564.7,642.0,940.0,1106.0,1062.0,898.0,1535.0,1888.4,1465.0,1914.2,1757.0,1097.0,931.0,461.4,1237.2,1304.0,1253.0,1782.2,2028.9,1717.2,1763.0,1624.9,2041.7,1059.0,1652.0,1401.0,169.0,1448.0,37.4,1151.0,1397.2,443.0,1643.0,1744.0,1765.0,1140.0,1360.0,1604.0,1618.0,1212.0,1446.0,208.0,241.0,594.0,1775.0,1159.5,902.0,741.0,1314.0,1133.0,1047.0,1732.0,1146.0,1131.0,770.0,1185.4,764.0,1769.0,1685.2,433.7,965.0,1847.0,1415.4,1184.0,1046.0,1149.0,1791.0,916.0,2121.2,1738.0,1193.1,1789.0,549.0,638.0,1412.0,1764.0,1593.0,1343.0,678.5,807.0,774.0,1867.9,1238.0,1305.0
Bloomington(Illinois),inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,283.9,627.5999999999999,inf,inf,inf,233.0,inf,inf,inf,inf,inf,412.0,inf,inf,inf,inf,364.0,inf,768.0,inf,2312.0,3006.0,3666.0,1778.0,3876.0,933.0,2021.7,708.5999999999999,1400.0,2047.7,3889.0,1331.0,1950.0,1153.0,1332.0,1085.0,2545.0,1523.0,860.0,1332.0,592.5999999999999,630.0,102.0,1923.0,1809.0,1701.0,0.0,1892.0,1618.0,1926.0,1408.0,1885.0,746.0,331.59999999999997,2077.6,2005.0,1879.0,1737.7,1844.0,1060.0,1207.0,1734.1,1895.0,1573.0,1720.0,2093.0,1650.0,1137.0,1803.0,784.0,266.0,1436.0,951.0,1338.0,1340.0,389.59999999999997,1371.4,1785.0,2051.0,2439.0,1363.0,1811.0,803.0,1104.7,333.0,1710.0,2054.5,1629.0,1427.0,908.0,395.0,1892.0,898.0,614.0,1533.0,2144.0,1525.0,1839.0,337.0,1437.0,525.5999999999999,1544.0,1930.0,980.0,1853.0,1363.0,1262.0,1536.0,1500.0,1588.0,1061.0,820.0,1957.0,1980.2,1467.0,2006.0,1759.0,522.0,1809.0,1359.0,1359.0,1306.0,1987.0,1874.0,2120.7,1809.0,476.59999999999997,234.0,750.5999999999999,1160.0,615.0,1588.0,1532.0,82.0,1664.0,1377.0,1408.0,1776.5,1790.0,215.0,1834.0,1622.0,1547.0,1606.0,480.0,584.0,2178.0,1867.0,1529.0,1858.0,637.0,1641.5,855.0,1067.0,231.0,1569.0,1784.0,1755.0,1583.0,514.0,936.0,1622.4,834.0,645.5999999999999,1777.0,1298.0,517.0,1994.0,1553.0,726.0,1528.0,285.0,1860.0,1032.0,2213.0,1763.0,1630.1,1858.0,1157.0,1250.0,1414.0,1833.0,65.0,1345.0,1523.0,795.0,1386.0,455.0,374.0,677.0
Manchester(New Hampshire),71.0,196.0,inf,inf,inf,inf,inf,115.8,inf,inf,inf,inf,220.8,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,211.0,inf,inf,inf,inf,180.8,inf,inf,inf,331.0,3430.2,959.0,283.8,1534.0,817.0,309.8,3443.2,573.0,112.5,1085.0,1050.2,807.0,2167.2,1455.0,1244.0,1264.0,1500.0,2007.0,1955.0,32.8,280.0,1800.2,1892.0,0.0,275.8,69.0,1031.2,1984.2,2123.0,1674.0,198.39999999999998,167.5,198.8,342.8,105.8,2437.0,2584.0,1905.2,2495.2,958.0,1678.2,255.5,377.5,2105.0,3180.0,2161.0,2119.0,2813.0,1640.0,894.2,1042.2,1558.0,1044.6,2794.2,213.5,3816.0,1013.1,2226.2,1187.0,803.0,1650.0,198.8,217.0,618.5,2132.0,1738.0,1943.0,1529.2,1749.0,1354.0,1677.0,3521.0,2902.0,90.0,1837.9,780.0,1607.0,2913.2,74.0,1135.0,128.2,871.0,976.0,1087.5,909.0,652.3,2438.0,1226.0,3326.2,133.0,2844.0,168.5,3136.0,1467.0,2722.2,1032.2,563.0,2683.0,3044.2,27.5,241.5,275.0,1553.0,1734.9,1781.0,2537.0,2468.0,2965.0,1880.0,1810.0,1772.2,2754.0,492.0,1398.7,3167.0,1879.9,99.8,687.5,2924.0,2983.0,2333.0,1308.0,3237.2,2008.2,1957.0,2394.2,2490.0,412.59999999999997,1193.0,2280.0,1797.0,635.0,2838.2,3132.0,448.9,1527.0,1201.0,390.2,1533.0,1483.0,115.0,1912.0,1780.0,3371.0,340.8,1169.4,548.8999999999999,1635.0,150.7,2409.0,373.0,3140.0,382.59999999999997,198.2,1013.8,2366.0,2791.0,110.6,1955.0,2722.0,1050.0,1369.0,2502.0,1977.9,1582.0,1401.0
Pittsfield(Massachusetts),314.0,143.0,inf,inf,inf,inf,inf,160.0,inf,inf,inf,inf,138.7,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,252.0,inf,inf,inf,inf,225.0,inf,inf,inf,79.8,3179.0,707.8,201.7,1282.8,565.8,227.7,3192.0,301.0,397.0,833.8,799.0,533.0,1916.0,1203.8,970.0,1012.8,1226.0,1733.0,1681.0,243.0,256.0,1549.0,1618.0,275.8,0.0,341.0,780.0,1733.0,1849.0,1400.0,242.6,442.0,261.0,260.7,223.2,2163.0,2310.0,1654.0,2244.0,706.8,1427.0,530.0,295.4,1853.8,2906.0,1887.0,1845.0,2539.0,1366.0,643.0,791.0,1284.0,793.4,2543.0,488.0,3542.0,761.9,1975.0,913.0,531.0,1376.0,92.0,491.5,367.3,1880.8,1480.0,1669.0,1278.0,1475.0,1080.0,1425.8,3247.0,2628.0,221.0,1563.9,528.8,1333.0,2647.0,309.2,883.8,235.0,619.8,724.8,836.3,657.8,401.1,2164.0,974.8,3060.0,368.2,2570.0,406.3,2862.0,1193.0,2471.0,781.0,291.0,2409.0,2793.0,302.0,274.7,256.0,1279.0,1460.9,1507.0,2263.0,2194.0,2691.0,1628.8,1536.0,1521.0,2480.0,220.0,1147.5,2893.0,1605.9,216.0,436.3,2650.0,2709.0,2059.0,1034.0,2986.0,1757.0,1705.8,2143.0,2216.0,330.5,941.8,2028.8,1523.0,383.8,2587.0,2858.0,360.2,1253.0,949.8,295.0,1281.8,1209.0,224.0,1660.8,1506.0,3097.0,65.0,895.4,460.2,1361.0,242.0,2135.0,608.2,2866.0,300.5,240.0,762.5999999999999,2114.8,2517.0,215.0,1681.0,2448.0,798.8,1117.8,2250.8,1703.9,1308.0,1127.0
Rochester(New Hampshire),59.0,230.0,inf,inf,inf,inf,inf,181.0,inf,inf,inf,inf,286.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,245.0,inf,inf,inf,inf,246.0,inf,inf,inf,365.0,3464.2,993.0,349.0,1568.0,851.0,375.0,3477.2,607.0,82.9,1119.0,1084.2,841.0,2201.2,1489.0,1278.0,1298.0,1534.0,2041.0,1989.0,98.0,314.0,1834.2,1926.0,69.0,341.0,0.0,1065.2,2018.2,2157.0,1708.0,263.6,137.9,264.0,408.0,121.1,2471.0,2618.0,1939.2,2529.2,992.0,1712.2,225.9,442.7,2139.0,3214.0,2195.0,2153.0,2847.0,1674.0,928.2,1076.2,1592.0,1078.6,2828.2,183.9,3850.0,1047.1,2260.2,1221.0,837.0,1684.0,264.0,187.4,652.5,2166.0,1772.0,1977.0,1563.2,1783.0,1388.0,1711.0,3555.0,2936.0,144.0,1871.9,814.0,1641.0,2947.2,35.1,1169.0,144.6,905.0,1010.0,1121.5,943.0,686.3,2472.0,1260.0,3360.2,94.1,2878.0,132.2,3170.0,1501.0,2756.2,1066.2,597.0,2717.0,3078.2,57.0,306.7,309.0,1587.0,1768.9,1815.0,2571.0,2502.0,2999.0,1914.0,1844.0,1806.2,2788.0,526.0,1432.7,3201.0,1913.9,129.6,721.5,2958.0,3017.0,2367.0,1342.0,3271.2,2042.2,1991.0,2428.2,2524.0,477.79999999999995,1227.0,2314.0,1831.0,669.0,2872.2,3166.0,514.0999999999999,1561.0,1235.0,455.4,1567.0,1517.0,149.0,1946.0,1814.0,3405.0,379.8,1203.4,614.0999999999999,1669.0,166.0,2443.0,334.1,3174.0,447.79999999999995,214.6,1047.8,2400.0,2825.0,129.29999999999998,1989.0,2756.0,1084.0,1403.0,2536.0,2011.9,1616.0,1435.0
