,Monroe(Louisiana),Charlotte(North Carolina),Cumberland(Maryland),Birmingham(Alabama),Pittsfield(Massachusetts),Cambridge(Massachusetts),Boston(Massachusetts),Manchester(New Hampshire),Parkersburg(West Virginia),Morgantown(West Virginia),Tonawanda(New York),Paterson(New Jersey),Bowling Green(Kentucky),Fort Wayne(Indiana),Buffalo(New York),Florence(Kentucky),El Dorado(Arkansas),Portland(Maine),Grand Rapids(Michigan),Bangor(Maine),Bridgeport(Connecticut),Atlanta(Georgia),Springfield(Massachusetts),Dayton(Ohio),New Rochelle(New York),Carmel(Indiana),Syracuse(New York),Raleigh(North Carolina),Jackson(Tennessee),St. Louis(Missouri),Michigan City(Michigan),Huntsville(Alabama),Tallahassee(Florida),Tuscaloosa(Alabama),Augusta(Maine),Flint(Michigan),Muncie(Indiana),Rochester(New Hampshire),Hartford(Connecticut),Orlando(Florida),York(Pennsylvania),Alexandria(Virginia),Champaign(Illinois),JacksonM(Mississippi),Reading(Pennsylvania),Rutland(Vermont),Jersey City(New Jersey),Biloxi(Mississippi),Charleston(West Virginia),Elizabethtown(Kentucky),Cincinnati(Ohio),Owensboro(Kentucky),Annapolis(Maryland),Charlottesville(Virginia),Gainesville(Florida),Laconia(New Hampshire),Ann Arbor(Michigan),Scranton(Pennsylvania),Lebanon(New Hampshire),Rockville(Maryland),Auburn(Maine),Allentown(Pennsylvania),Erie(Pennsylvania),Concord(New Hampshire),Richmond(Virginia),Shreveport(Louisiana),Lorain(Ohio),Burlington(Vermont),Nashville(Tennessee),Lewiston(Maine),Murfreesboro(Tennessee),Hattiesburg(Mississippi),Newark(New Jersey),Miami(Florida),Sheboygan(Wisconsin),Lynchburg(Virginia),Albany(New York),Akron(Ohio),Newport(Rhode Island),Keene(New Hampshire),Lancaster(Pennsylvania),Hagerstown(Maryland),New York City(New York),Durham(North Carolina),Columbia(Maryland),Middletown(New Jersey),Wilmington-D(Delaware),South Bend(Indiana),Evansville(Indiana),Lake Charles(Louisiana),Peoria(Illinois),Johnson City(Tennessee),Weirton(West Virginia),Memphis(Tennessee),Summerville(South Carolina),Tampa(Florida),Chattanooga(Tennessee),Springfield-M(Missouri),Brockton(Massachusetts),New Bedford(Massachusetts),New Bern (North Carolina),Milwaukee(Wisconsin),Manassas(Virginia),Kenosha(Wisconsin),Martinsburg(West Virginia),St. Petersburg(Florida),Lansing(Michigan),Columbus(Ohio),Knoxville(Tennessee),Kalamazoo(Michigan),Wilmington(North Carolina),Winston-Salem(North Carolina),Bentonville(Arkansas),Troy(New York),Detroit(Michigan),Traverse city (Michigan),Fall River(Massachusetts),Trenton(New Jersey),Gaithersburg(Maryland),Terre Haute(Indiana),Winooski(Vermont),Lexington(Kentucky),Johnstown(Pennsylvania),Blue Springs (Missouri),Blacksburg(Virginia),Baton Rouge(Louisiana),Portsmouth(New Hampshire),Salisbury(Maryland),Greensboro(North Carolina),Springfield-I(Illinois),Hamilton(New Jersey),Bloomington(Indiana),Louisville(Kentucky),Cape Coral(Florida),Jonesboro(Arkansas),Conway(Arkansas),Savannah(Georgia),Macon(Georgia),Quincy(Massachusetts),Tupelo(Mississippi),Pittsburgh(Pennsylvania),Sanford(Maine),Saginaw(Michigan),Worcester(Massachusetts),Gary(Indiana),Springdale(Arkansas),Chelsea(Massachusetts),Washington(DC),Hilton Head Island(South Carolina),Huntington(West Virginia),Dothan(Alabama),Chicago(Illinois),Little Rock(Arkansas),Harrisburg(Pennsylvania),Montgomery(Alabama),Wheeling(West Virginia),Cleveland(Ohio),Norfolk(Virginia),Bossier City(Louisiana),Southaven(Mississippi),Providence(Rhode Island),Woodbridge(New Jersey),Clarksburg(West Virginia),Mobile(Alabama),Indianapolis(Indiana),Stamford(Connecticut),Fayetteville(North Carolina),Frankfort(Kentucky),Nashua(New Hampshire),New Haven(Connecticut),Toledo(Ohio),Yonkers(New York),Utica(New York),Westbrook(Maine),Warwick(Rhode Island),Jacksonville(Florida),Panama City(Florida),Baltimore(Maryland),Jefferson City(Missouri),Lafayette(Louisiana),New Orleans(Louisiana),Mount Vernon(New York),Philadelphia(Pennsylvania),Atlantic City(New Jersey),Binghamton(New York),Lafayette(Indiana),Kingsport(Tennessee),Montpelier(Vermont),Virginia Beach(Virginia),Columbia-SC(South Carolina),Fayetteville-A(Arkansas),Youngstown(Ohio),Valdosta(Georgia),Rockford(Illinois),Bloomington(Illinois),Greenville(South Carolina),Biddeford(Maine),Seaford(Delaware),Dover(Delaware),Silver Spring(Maryland)
Tonawanda(New York),inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.0,inf,inf,inf,19.7,inf,inf,inf,inf,inf,inf,inf,inf,inf,646.0,inf,242.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,466.0,inf,inf,inf,inf,inf,688.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,472.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,637.0,319.0,inf,inf,inf,inf,inf,inf,inf,inf,642.0,inf,inf,338.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
Paterson(New Jersey),inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,43.1,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,177.0,inf,inf,inf,146.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,25.3,inf,inf,inf,inf,inf,inf,inf,inf,inf,36.3,inf,inf,83.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,100.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,106.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,50.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,39.4,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,211.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
Bowling Green(Kentucky),inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.0,inf,inf,346.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,116.0,inf,116.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,104.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,252.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,183.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,283.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
Fort Wayne(Indiana),inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,178.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,110.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,144.0,471.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,214.0,254.0,inf,195.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,389.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,285.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,213.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,200.0,inf,inf,inf,inf,inf,164.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,187.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
Buffalo(New York),inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,19.7,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,618.0,inf,246.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,152.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,468.0,inf,inf,inf,inf,inf,744.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,476.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,605.0,323.0,inf,inf,inf,inf,inf,inf,inf,inf,613.0,inf,inf,320.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
Florence(Kentucky),inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,346.0,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,210.0,20.0,396.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,114.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,140.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,109.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
El Dorado(Arkansas),108.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,532.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,396.0,240.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,509.0,inf,inf,inf,inf,inf,inf,192.0,inf,inf,inf,inf,inf,149.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,496.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
Portland(Maine),inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.0,inf,208.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,89.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,54.0,inf,inf,inf,inf,inf,inf,inf,inf,58.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,56.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,12.1,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,38.1,inf,inf,inf
Grand Rapids(Michigan),inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,194.0,inf,inf,inf,inf,186.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,212.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,111.0,inf,inf,81.0,inf,inf,inf,inf,252.0,228.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,184.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
Bangor(Maine),inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,208.0,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,123.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,185.0,inf,inf,inf,inf,inf,inf,inf,inf,167.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,263.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,214.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,240.0,inf,inf,inf
Bridgeport(Connecticut),inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,89.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,39.5,inf,inf,inf,35.2,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
Atlanta(Georgia),inf,inf,inf,237.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,183.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,429.0,136.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,259.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,346.0,inf,inf,367.0,inf,inf,234.0,inf,inf,inf,inf
Springfield(Massachusetts),inf,inf,inf,inf,92.0,139.0,142.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,46.7,inf,inf,inf,inf,inf,inf,216.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,129.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,166.0,182.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,160.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,158.0,inf,inf,inf,inf,83.0,inf,inf,149.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
Dayton(Ohio),inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,87.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,321.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,312.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,113.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,382.0,inf,inf,inf,inf,inf,inf,inf,189.0,inf,inf,inf,inf,inf,239.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,389.0,inf,inf,inf,inf,inf,inf,inf,inf
New Rochelle(New York),inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,646.0,inf,inf,inf,618.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.0,inf,415.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,243.0,inf,inf,inf,inf,inf,35.1,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,242.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,34.7,inf,inf,inf,inf,inf,12.7,383.0,inf,inf,inf,inf,inf,inf,inf,inf,5.1,inf,inf,291.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
Carmel(Indiana),inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,178.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,76.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,203.0,320.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,168.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,119.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,244.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,38.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,100.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
Syracuse(New York),inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,242.0,inf,inf,inf,246.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,415.0,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,236.0,inf,inf,inf,inf,inf,421.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,242.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,398.0,89.0,inf,inf,inf,inf,inf,inf,inf,inf,410.0,inf,inf,119.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
Raleigh(North Carolina),inf,241.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,271.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,37.4,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,184.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,208.0,169.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,127.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,105.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
